Origin_Country,Age_Arrived,Sex,Years_as_Resident,Native_Language,Target_Language,Education_days,Enrolled_Coruse,Speaking,Written_Understanding
Morocco,18,Male,17,Arabic,Monolingual,3,49,542,0.595079
Sudan,17,Male,3,Arabic,English,3,31,511,0.595079
Sudan,17,Female,9,Arabic,English,3,31,539,0.595079
Morocco,28,Female,1,Arabic,French,1,49,499,0.595079
Sudan,26,Male,2,Arabic,Russian,3,31,507,0.595079
Morocco,30,Male,3,Arabic,French,4,49,527,0.595079
Iraq,32,Male,5,Arabic,English,4,47,490,0.595079
Morocco,19,Female,2,Arabic,French,2,49,494,0.595079
Iraq,27,Female,3,Arabic,English,4,47,495,0.595079
Morocco,20,Female,2,Arabic,French,3,49,522,0.595079
Iraq,29,Female,2,Arabic,English,1,47,535,0.595079
Morocco,29,Male,0,Arabic,French,3,49,451,0.595079
